iter	Passed	Remaining
0	3	3595
1	6	3467
2	11	3751
3	13	3357
4	16	3308
5	19	3302
6	23	3359
7	27	3365
8	30	3350
9	33	3322
10	36	3307
11	41	3423
12	44	3406
13	48	3421
14	51	3405
15	55	3440
16	59	3450
17	62	3429
18	65	3407
19	69	3390
20	74	3456
21	77	3446
22	80	3427
23	83	3407
24	87	3421
25	91	3422
26	94	3405
27	97	3393
28	100	3379
29	105	3423
30	109	3410
31	112	3391
32	115	3379
33	119	3390
34	122	3377
35	125	3362
36	128	3346
37	131	3331
38	135	3333
39	138	3330
40	141	3317
41	144	3304
42	147	3290
43	152	3318
44	155	3304
45	158	3290
46	161	3282
47	165	3277
48	168	3279
49	172	3271
50	175	3258
51	178	3247
52	180	3229
53	184	3226
54	187	3218
55	190	3211
56	193	3202
57	197	3203
58	200	3203
59	203	3195
60	207	3186
61	210	3181
62	214	3187
63	218	3195
64	221	3186
65	224	3176
66	227	3168
67	231	3175
68	234	3166
69	237	3161
70	240	3153
71	244	3148
72	248	3153
73	251	3144
74	254	3135
75	257	3129
76	261	3133
77	264	3126
78	267	3119
79	270	3111
80	273	3104
81	277	3109
82	280	3102
83	283	3095
84	287	3090
85	290	3082
86	293	3083
87	296	3077
88	300	3070
89	301	3047
90	304	3044
91	309	3052
92	312	3048
93	315	3042
94	318	3035
95	321	3028
96	325	3031
97	329	3030
98	332	3028
99	335	3022
100	339	3019
101	342	3017
102	345	3010
103	348	3004
104	351	2999
105	355	2998
106	358	2993
107	361	2988
108	364	2981
109	367	2975
110	371	2974
111	375	2974
112	378	2967
113	381	2963
114	384	2956
115	389	2964
116	392	2959
117	395	2952
118	398	2947
119	401	2941
120	404	2940
121	407	2935
122	410	2930
123	414	2924
124	418	2926
125	421	2922
126	424	2916
127	427	2911
128	430	2906
129	434	2905
130	437	2901
131	440	2896
132	443	2890
133	446	2885
134	449	2882
135	454	2886
136	457	2880
137	460	2875
138	463	2870
139	467	2874
140	471	2869
141	474	2865
142	477	2859
143	480	2856
144	484	2856
145	487	2851
146	490	2846
147	493	2842
148	497	2841
149	500	2837
150	503	2833
151	506	2827
152	509	2823
153	513	2823
154	517	2818
155	520	2813
156	523	2809
157	526	2804
158	529	2801
159	533	2800
160	536	2795
161	539	2790
162	542	2785
163	547	2790
164	550	2786
165	553	2780
166	556	2775
167	560	2775
168	564	2777
169	567	2772
170	570	2768
171	574	2763
172	578	2764
173	581	2759
174	584	2754
175	587	2750
176	590	2746
177	594	2744
178	597	2740
179	600	2736
180	603	2730
181	607	2728
182	610	2725
183	614	2724
184	617	2722
185	620	2717
186	625	2720
187	628	2715
188	631	2710
189	634	2706
190	637	2702
191	641	2701
192	645	2697
193	648	2692
194	650	2687
195	653	2682
196	658	2683
197	661	2678
198	664	2674
199	667	2670
200	671	2668
201	675	2667
202	678	2662
203	681	2658
204	684	2654
205	687	2651
206	691	2648
207	694	2643
208	697	2639
209	700	2635
210	705	2636
211	708	2632
212	711	2629
213	714	2624
214	718	2621
215	722	2621
216	725	2616
217	728	2612
218	731	2608
219	734	2605
220	738	2601
221	741	2597
222	744	2593
223	747	2589
224	751	2588
225	754	2584
226	757	2579
227	760	2576
228	763	2571
229	767	2571
230	771	2568
231	774	2564
232	778	2562
233	782	2562
234	785	2558
235	789	2554
236	792	2551
237	795	2548
238	800	2550
239	804	2546
240	807	2542
241	810	2538
242	814	2535
243	817	2532
244	820	2527
245	823	2523
246	826	2519
247	830	2517
248	833	2513
249	836	2509
250	839	2504
251	842	2500
252	846	2498
253	849	2495
254	852	2490
255	855	2486
256	858	2482
257	864	2484
258	867	2481
259	870	2476
260	873	2473
261	877	2471
262	880	2467
263	883	2463
264	886	2458
265	889	2455
266	893	2452
267	896	2448
268	899	2445
269	902	2441
270	906	2439
271	910	2436
272	913	2431
273	916	2427
274	919	2423
275	922	2420
276	926	2417
277	929	2414
278	932	2410
279	935	2405
280	940	2405
281	943	2401
282	946	2397
283	949	2393
284	952	2389
285	956	2387
286	959	2383
287	962	2379
288	965	2376
289	969	2373
290	972	2370
291	975	2366
292	978	2362
293	982	2358
294	986	2357
295	989	2353
296	992	2349
297	996	2346
298	999	2343
299	1004	2344
300	1007	2340
301	1010	2336
302	1013	2332
303	1017	2330
304	1021	2327
305	1024	2324
306	1027	2319
307	1030	2316
308	1034	2314
309	1037	2310
310	1041	2306
311	1044	2302
312	1046	2298
313	1051	2297
314	1054	2292
315	1057	2288
316	1060	2284
317	1063	2280
318	1067	2277
319	1070	2274
320	1073	2270
321	1076	2265
322	1079	2262
323	1082	2259
324	1085	2255
325	1089	2251
326	1092	2247
327	1096	2246
328	1100	2243
329	1103	2239
330	1106	2235
331	1109	2231
332	1113	2229
333	1117	2227
334	1120	2223
335	1123	2219
336	1126	2216
337	1130	2213
338	1133	2210
339	1136	2206
340	1139	2202
341	1143	2199
342	1146	2195
343	1149	2191
344	1152	2187
345	1155	2183
346	1158	2180
347	1162	2177
348	1165	2173
349	1168	2169
350	1171	2165
351	1175	2164
352	1178	2160
353	1181	2156
354	1185	2153
355	1188	2149
356	1192	2146
357	1195	2144
358	1198	2140
359	1202	2136
360	1205	2133
361	1209	2131
362	1212	2127
363	1215	2123
364	1218	2119
365	1222	2117
366	1225	2113
367	1228	2109
368	1231	2105
369	1234	2101
370	1237	2098
371	1242	2097
372	1245	2093
373	1248	2089
374	1251	2085
375	1256	2084
376	1259	2081
377	1262	2077
378	1265	2073
379	1268	2070
380	1272	2067
381	1275	2064
382	1279	2060
383	1282	2057
384	1286	2054
385	1289	2051
386	1293	2048
387	1296	2045
388	1300	2043
389	1303	2039
390	1307	2036
391	1310	2033
392	1314	2030
393	1318	2027
394	1322	2025
395	1325	2022
396	1329	2019
397	1334	2018
398	1338	2016
399	1342	2013
400	1346	2011
401	1351	2010
402	1355	2008
403	1359	2004
404	1362	2001
405	1367	2000
406	1370	1997
407	1374	1994
408	1378	1991
409	1382	1989
410	1385	1986
411	1389	1983
412	1393	1980
413	1397	1977
414	1401	1975
415	1404	1971
416	1408	1968
417	1412	1967
418	1416	1963
419	1419	1960
420	1423	1957
421	1427	1955
422	1431	1952
423	1434	1949
424	1438	1945
425	1441	1942
426	1445	1940
427	1449	1936
428	1452	1933
429	1456	1930
430	1460	1928
431	1464	1925
432	1467	1921
433	1470	1917
434	1473	1913
435	1477	1911
436	1480	1907
437	1483	1903
438	1486	1900
439	1490	1896
440	1494	1893
441	1497	1890
442	1500	1886
443	1503	1882
444	1506	1878
445	1510	1876
446	1513	1872
447	1516	1868
448	1519	1864
449	1523	1862
450	1526	1858
451	1529	1854
452	1532	1851
453	1536	1847
454	1540	1844
455	1543	1841
456	1546	1837
457	1549	1833
458	1552	1829
459	1557	1828
460	1560	1825
461	1564	1821
462	1567	1817
463	1571	1815
464	1574	1812
465	1577	1808
466	1581	1804
467	1584	1800
468	1588	1797
469	1591	1794
470	1594	1790
471	1597	1786
472	1600	1783
473	1605	1781
474	1608	1777
475	1611	1774
476	1614	1770
477	1619	1768
478	1622	1764
479	1625	1760
480	1628	1757
481	1631	1753
482	1636	1751
483	1639	1747
484	1642	1744
485	1645	1740
486	1649	1738
487	1653	1734
488	1656	1731
489	1659	1727
490	1662	1723
491	1666	1720
492	1669	1717
493	1672	1713
494	1675	1709
495	1678	1705
496	1683	1703
497	1686	1699
498	1689	1695
499	1692	1692
500	1695	1689
501	1699	1685
502	1702	1681
503	1705	1678
504	1708	1674
505	1711	1671
506	1715	1668
507	1718	1664
508	1721	1660
509	1725	1657
510	1729	1655
511	1732	1651
512	1735	1647
513	1738	1644
514	1741	1640
515	1746	1637
516	1749	1634
517	1753	1631
518	1757	1628
519	1761	1626
520	1764	1622
521	1767	1618
522	1770	1614
523	1773	1611
524	1778	1609
525	1782	1606
526	1785	1602
527	1788	1599
528	1792	1596
529	1795	1592
530	1798	1588
531	1802	1585
532	1805	1581
533	1810	1579
534	1813	1575
535	1816	1572
536	1819	1568
537	1822	1565
538	1826	1562
539	1829	1558
540	1832	1554
541	1835	1551
542	1839	1547
543	1842	1544
544	1845	1540
545	1848	1537
546	1851	1533
547	1855	1530
